my_name,loss_count,is_eliminated,first_losses,last_losses,next_match,last_standing
danielmado,1,False,"{'phase': 'Round 2', 'fullRoundText': 'Winners Semi-Final', 'opponent': 'DNF | CBM'}",[],"{'phase': 'Round 3', 'fullRoundText': 'Losers Round 1', 'opponent': 'ONIC | Higem'}",
farzeen,0,False,[],[],"{'phase': 'Round 3', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'BDS | ILIAS'}",
ghirlanda,2,True,"{'phase': 'Round 3', 'fullRoundText': 'Losers Round 1', 'opponent': 'jimmyjtran'}","{'phase': 'Round 2', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'ZETA | WATANABE'}",,65.0
knee,1,False,"{'phase': 'Round 2', 'fullRoundText': 'Winners Semi-Final', 'opponent': 'BDS | Kirakira'}",[],"{'phase': 'Round 3', 'fullRoundText': 'Losers Round 4', 'opponent': 'TM | Hafiz Tanveer'}",
lowhigh,0,False,[],[],"{'phase': 'Top 24', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'JDCR'}",
ulsan,2,True,"{'phase': 'Round 3', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'JDCR'}","{'phase': 'Round 3', 'fullRoundText': 'Losers Round 3', 'opponent': 'Dawood Sikandar'}",,33.0
chanel,0,False,[],[],"{'phase': 'Round 3', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'VARREL | PINYA'}",
book,0,False,[],[],"{'phase': 'Round 3', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'Falcons | ATIF'}",
cbm,0,False,[],[],"{'phase': 'Round 3', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'Virtus.pro | Mangja'}",
mulgold,0,False,[],[],"{'phase': 'Round 3', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'Pulse | Tomoriru'}",
wecka,1,False,"{'phase': 'Round 2', 'fullRoundText': 'Winners Quarter-Final', 'opponent': 'KINOTROPE | shonen'}",[],"{'phase': 'Round 3', 'fullRoundText': 'Losers Round 1', 'opponent': 'QAD | Yagami'}",
